,year,fips60_06,fips,wtem,wpre,wtem50,wpre50,country,country_code,ki,rgdpl,gdpLCU,gdpSHAREAG,gdpWDIGDPAGR,gdpWDIGDPIND,lnrgdpl_t0,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS,parent
48,2000,AE,AE,27.638988,0.4699464,26.917786,14.031917,United Arab Emirates,ARE,19.423669353337605,32181.677742470227,62317.83322,3.506874561,8730000000.0,106000000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
49,1995,AE,AE,26.72509,2.4110143,26.917786,14.031917,United Arab Emirates,ARE,21.452717554622247,25345.12323995478,65177.93723,2.86866951,4500000000.0,81700000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
50,1993,AE,AE,26.591042,0.9907501,26.917786,14.031917,United Arab Emirates,ARE,22.10404187604164,22447.192137411974,64677.1565,2.369262695,3190000000.0,74400000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
51,1963,AE,AE,26.207262,1.1361572,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
52,1972,AE,AE,25.62497,2.3952894,26.917786,14.031917,United Arab Emirates,ARE,21.096308241456505,9901.205964700945,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
53,2002,AE,AE,27.91878,0.6140072,26.917786,14.031917,United Arab Emirates,ARE,19.40621671988257,32977.35154528554,59709.56329,3.37118578,8610000000.0,105000000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
54,1996,AE,AE,27.040833,1.6019536,26.917786,14.031917,United Arab Emirates,ARE,20.836148283251,26942.474788590276,67002.80885,2.874079704,5030000000.0,84800000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
55,1990,AE,AE,26.800446,0.9855572,26.917786,14.031917,United Arab Emirates,ARE,16.12382693629423,25286.743218774474,75011.46416,1.641307354,2400000000.0,78800000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
56,1992,AE,AE,25.457144,0.96308213,26.917786,14.031917,United Arab Emirates,ARE,18.70562610437759,24711.704755924788,69016.52178,2.175795078,3080000000.0,76200000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
57,1968,AF,AF,10.566977,3.9741719,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
58,1955,AF,AF,11.590393,3.0885525,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
59,1984,AF,AF,11.27446,2.7183502,10.7787485,32.430206,Afghanistan,AFG,4.407068810586382,2555.926996246003,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
60,1956,AF,AF,10.984127,4.794928,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
